ID,All_fragments,All_fragments_h,Counts
BIOFACQUIM_All_frag_537,*O[C@H]1c2cc(C)cc(O)c2C(=O)C2C(=O)C3=CC[C@]21Cc1cc(O)c2c(c13)O[C@]1(C(*)=O)C(C(=O)C=C[C@H]1O)C2=O,Cc1cc(O)c2c(c1)[C@H](O)[C@]13CC=C(C(=O)C1C2=O)c1c(cc(O)c2c1O[C@]1(C=O)C(C(=O)C=C[C@H]1O)C2=O)C3,1
BIOFACQUIM_All_frag_538,*O[C@H]1c2cc(C)cc(O)c2C(=O)C2C(=O)C3=CC[C@]21Cc1cc(O)c2c(c13)O[C@]1(C(=O)OC)C(C(=O)C=C[C@H]1O)C2=O,COC(=O)[C@@]12Oc3c(c(O)cc4c3C3=CC[C@]5(C4)C(C3=O)C(=O)c3c(O)cc(C)cc3[C@@H]5O)C(=O)C1C(=O)C=C[C@H]2O,1
BIOFACQUIM_All_frag_539,*[C@H]1c2cc(C)cc(O)c2C(=O)C2C(=O)C3=CC[C@]21Cc1cc(O)c2c(c13)O[C@]1(C(=O)OC)C(C(=O)C=C[C@H]1O)C2=O,COC(=O)[C@@]12Oc3c(c(O)cc4c3C3=CC[C@]5(Cc6cc(C)cc(O)c6C(=O)C5C3=O)C4)C(=O)C1C(=O)C=C[C@H]2O,1
BIOFACQUIM_All_frag_540,*C(=O)c1c(O)ccc(O)c1C(=O)c1c(O)cc2c(c1O)C1=CC[C@]3(C2)C(C1=O)C(=O)c1c(O)cc(C)cc1[C@@H]3*,Cc1cc(O)c2c(c1)C[C@]13CC=C(C(=O)C1C2=O)c1c(cc(O)c(C(=O)c2c(O)ccc(O)c2C=O)c1O)C3,1
BIOFACQUIM_All_frag_541,*C(=O)c1c(O)ccc(O)c1C(=O)c1c(O)cc2c(c1O)C1=CC[C@]3(C2)C(C1=O)C(=O)c1c(O)cc(C)cc1[C@@H]3OC(C)=O,CC(=O)O[C@H]1c2cc(C)cc(O)c2C(=O)C2C(=O)C3=CC[C@]21Cc1cc(O)c(C(=O)c2c(O)ccc(O)c2C=O)c(O)c13,1
BIOFACQUIM_All_frag_542,*CC(=O)O[C@@H]1CC(O)(C(=O)O)C[C@@H](O*)C1O,CC(=O)O[C@@H]1CC(O)(C(=O)O)C[C@@H](O)C1O,1
BIOFACQUIM_All_frag_543,*[C@@H]1[C@@H](OC(=O)C(C)=CC)[C@H]2C(=C)C(=O)O[C@@H]2CC(C)=CCC(=O)[C@]1(C)O,C=C1C(=O)O[C@@H]2CC(C)=CCC(=O)[C@](C)(O)C[C@@H](OC(=O)C(C)=CC)[C@@H]12,1
BIOFACQUIM_All_frag_544,*CCC[C@@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,CCC[C@@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,1
BIOFACQUIM_All_frag_545,*O[C@@H]1[C@@H](OC(=O)C(C)=CC)[C@H]2C(=C)C(=O)O[C@@H]2CC(C)=CCC(=O)[C@]1(C)O,C=C1C(=O)O[C@@H]2CC(C)=CCC(=O)[C@](C)(O)[C@H](O)[C@@H](OC(=O)C(C)=CC)[C@@H]12,1
BIOFACQUIM_All_frag_546,*C(=O)C=CC,CC=CC=O,1
