ID,isomeric_smiles,canonical_smiles,Database,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,MW,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
nubbe_code_96,C=CC2[C@@H](OC=C(C2C[C@H]5C4=C(C[C@H](N5)[C@@](O)=O)C3=CC=CC=C3N4)C(OC)=O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O,C=CC1C(C[C@@H]2NC(C(=O)O)Cc3c2[nH]c2ccccc32)C(C(=O)OC)=CO[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,28,11,2,0.6829268292682927,0.2682926829268293,0.04878048780487805,0.5,0.35714285714285715,574.2162599079999,41,5,3,2,4,3,2,0,0
nubbe_code_97,[H][C@](C2=C(CCN3C=C4C(OC)=O)C1=CC=CC=C1N2)3C[C@@](/C(CO)=CC)4[H],CC=C(CO)[C@@H]1C[C@H]2c3[nH]c4ccccc4c3CCN2C=C1C(=O)OC,NuBBE,21,3,2,0.8076923076923077,0.11538461538461539,0.07692307692307693,0.38095238095238093,0.09523809523809523,352.1786926279999,26,4,2,2,3,2,2,0,0
nubbe_code_98,[H][C@]1(C[C@]([H])4/C(CO)=C/C)C3=C(C2=CC=CC=C2N3)CCN1C=C4C(OC)=O,C/C=C(\CO)[C@@H]1C[C@H]2c3[nH]c4ccccc4c3CCN2C=C1C(=O)OC,NuBBE,21,3,2,0.8076923076923077,0.11538461538461539,0.07692307692307693,0.38095238095238093,0.09523809523809523,352.1786926279999,26,4,2,2,3,2,2,0,0
nubbe_code_99,[H][C@]35C2=C(CCN3[C@H]([C@H]([C@H](C5)/[C@@](C(OC)=O)=C/O)C=C)O[C@H](O[C@@H]([C@H]([C@@H]4O)O)CO)[C@@H]4O)C1=CC=CC=C1N2,C=C[C@H]1[C@@H](C(C=O)C(=O)OC)C[C@H]2c3[nH]c4ccccc4c3CCN2[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,27,9,2,0.7105263157894737,0.23684210526315788,0.05263157894736842,0.5555555555555556,0.37037037037037035,530.2264306679999,38,5,3,2,4,3,2,0,0
nubbe_code_100,C=CC2[C@@H](OC=C(C2CC3=NCCC5=C3NC4=CC=CC=C45)C(OC)=O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O,C=CC1C(CC2=NCCc3c2[nH]c2ccccc32)C(C(=O)OC)=CO[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,27,9,2,0.7105263157894737,0.23684210526315788,0.05263157894736842,0.48148148148148145,0.2962962962962963,528.2107806039998,38,5,3,2,4,3,2,0,0
nubbe_code_101,C=CC1[C@H](O[C@@H]([C@@H]5O)O[C@H](CO)[C@@H](O)[C@@H]5O)OC=C(C(O)=O)C1CC2=NCCC4=C2NC3=CC=CC=C34,C=CC1C(CC2=NCCc3c2[nH]c2ccccc32)C(C(=O)O)=CO[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,26,9,2,0.7027027027027027,0.24324324324324326,0.05405405405405406,0.46153846153846156,0.3076923076923077,514.1951305399998,37,5,3,2,4,3,2,0,0
nubbe_code_102,C=CC2[C@@H](OC=C(C2C[C@H]5C4=C(CCN5)C3=CC=CC=C3N4)C(O)=O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O,C=CC1C(C[C@@H]2NCCc3c2[nH]c2ccccc32)C(C(=O)O)=CO[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,26,9,2,0.7027027027027027,0.24324324324324326,0.05405405405405406,0.5,0.34615384615384615,516.2107806039998,37,5,3,2,4,3,2,0,0
nubbe_code_103,C=CC2[C@@H](OC=C(C2CC3=NC(C(O)=O)=CC5=C3NC4=CC=C(C=C45)O)C(OC)=O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O,C=CC1C(=Cc2nc(C(=O)O)cc3c2[nH]c2ccc(O)cc23)C(C(=O)OC)CO[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,28,12,2,0.6666666666666666,0.2857142857142857,0.047619047619047616,0.39285714285714285,0.2857142857142857,586.1798743999999,42,5,2,3,4,2,3,0,0
nubbe_code_104,C=CC2[C@@H](OC=C(C2CC3=NC(C(O)=O)=CC5=C3NC4=CC=CC=C45)C(OC)=O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O,CC=C1C(=Cc2nc(C(=O)O)cc3c2[nH]c2ccccc23)C(C(=O)OC)COC1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,28,11,2,0.6829268292682927,0.2682926829268293,0.04878048780487805,0.39285714285714285,0.25,570.1849597799999,41,5,2,3,4,2,3,0,0
nubbe_code_105,OC(C3=CC2=C(C(C)=N3)NC1=CC=CC=C12)=O,Cc1nc(C(=O)O)cc2c1[nH]c1ccccc12,NuBBE,13,2,2,0.7647058823529411,0.11764705882352941,0.11764705882352941,0.07692307692307693,0.0,226.07422756,17,3,0,3,2,0,3,0,0
nubbe_code_113,O=C2C1=CO[C@H](O[C@@H]([C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@@H](C=C)[C@]([H])1CCO2,C=C[C@@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@@H]21,NuBBE,16,9,0,0.64,0.36,0.0,0.6875,0.5,358.12638228399993,25,3,3,0,3,3,0,0,0
nubbe_code_114,O[C@@H]([C@@]([C@]([C@@H](OC=C3C(OC)=O)O[C@H](O[C@@H]([C@H]([C@@H]2O)O)CO)[C@@H]2O)1[H])3[H])[C@H](C1=C)O,C=C1[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C(C(=O)OC)[C@H]2[C@H](O)[C@H]1O,NuBBE,17,11,0,0.6071428571428571,0.39285714285714285,0.0,0.7058823529411765,0.5882352941176471,404.1318615879999,28,3,3,0,2,2,0,0,0
