ID,All_fragments,All_fragments_h,Counts
NuBBE_All_frag_65,*C(*)=O,C=O,6
NuBBE_All_frag_66,*Cc1cc(OC)c(OC)c(OC)c1,COc1cc(C)cc(OC)c1OC,6
NuBBE_All_frag_67,*CC(C)(C)O,CC(C)(C)O,6
NuBBE_All_frag_68,*OCC,CCO,6
NuBBE_All_frag_69,*C[C@H]1CC=CC(=O)O1,C[C@H]1CC=CC(=O)O1,6
NuBBE_All_frag_70,*OCc1ccccc1,OCc1ccccc1,6
NuBBE_All_frag_71,*Cc1ccc(O)c(OC)c1,COc1cc(C)ccc1O,6
NuBBE_All_frag_72,*C(=O)C=Cc1ccc(O)c(OC)c1,COc1cc(C=CC=O)ccc1O,6
NuBBE_All_frag_73,*CCC=C(C)C,CCC=C(C)C,6
NuBBE_All_frag_74,*CCOc1ccc(CCN*)cc1,CCOc1ccc(CCN)cc1,5
NuBBE_All_frag_75,*c1ccc(O)c(OC)c1,COc1ccccc1O,5
NuBBE_All_frag_76,*CCOc1ccc(CCNC(=O)c2ccccc2)cc1,CCOc1ccc(CCNC(=O)c2ccccc2)cc1,5
NuBBE_All_frag_77,*CCCC(=CCCC(*)C)C(=O)O,CCCCC=C(CCC)C(=O)O,5
NuBBE_All_frag_78,*O[C@H]1[C@H](c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@@H](O)[C@@H]1O,O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,5
NuBBE_All_frag_79,*C/C=C(\C)CCC*,C/C=C(\C)CCC,5
NuBBE_All_frag_80,*C/C=C(\C)CCC=C(C)C,C/C=C(\C)CCC=C(C)C,5
NuBBE_All_frag_81,*[C@H]1[C@H](c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@@H](O)[C@@H]1O,O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@H]3C[C@@H](O)[C@H](O)[C@@H](CO)O3)c(O)c12,5
NuBBE_All_frag_82,*C(C)CCC=C(CCC=C(C)C)C(=O)O,CCCCC=C(CCC=C(C)C)C(=O)O,5
NuBBE_All_frag_83,*C(=O)/C=C/C=C/c1ccc2c(c1)OCO2,O=C/C=C/C=C/c1ccc2c(c1)OCO2,5
NuBBE_All_frag_84,*CC(=O)OC,COC(C)=O,5
NuBBE_All_frag_85,*CCCC(*)C(=O)O,CCCCC(=O)O,5
NuBBE_All_frag_86,*C(CCC=C(C)C)C(=O)O,CC(C)=CCCCC(=O)O,5
NuBBE_All_frag_87,*c1cc(=O)c2c(OC)c(OC)c(OC)cc2o1,COc1cc2occc(=O)c2c(OC)c1OC,5
NuBBE_All_frag_88,*Cc1ccc(OC)c(OC)c1,COc1ccc(C)cc1OC,5
NuBBE_All_frag_89,*C/C=C/c1ccc2c(c1)OCO2,C/C=C/c1ccc2c(c1)OCO2,5
NuBBE_All_frag_90,*C(=O)OC(C)(C)C,CC(C)(C)OC=O,5
NuBBE_All_frag_91,*O[C@H]1O[C@@H](*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](*)[C@@H]3OC(C)=O,C=C/C(C)=C\C[C@]1(C)[C@H](C)C[C@H](OC(C)=O)[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_92,*Oc1cc(*)c(OC(C)=O)cc1OC,COc1cc(OC(C)=O)ccc1O,4
NuBBE_All_frag_93,*Oc1cc(*)c(*)cc1OC,COc1ccccc1O,4
NuBBE_All_frag_94,*c1oc2cc(OC)cc(OC)c2c(=O)c1OC,COc1cc(OC)c2c(=O)c(OC)coc2c1,4
