ID,All_fragments,All_fragments_h,Counts
PeruNPD_All_frag_213,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(C)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CO,1
PeruNPD_All_frag_214,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(\C*)CC*)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(C)CC/C=C(\C)CC)COC(C)=O)CO,1
PeruNPD_All_frag_215,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(\C*)CC*)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(C)CC/C=C(\C)CC)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_216,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)CO*)CO*)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(/CC)CO)CO,1
PeruNPD_All_frag_217,*CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,1
PeruNPD_All_frag_218,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(\C*)CC=CC(C)C(*)=O)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(C)CC/C=C(\C)CC=CC(C)C=O,1
PeruNPD_All_frag_219,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(C)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O,1
PeruNPD_All_frag_220,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(\C*)CC=CC(C)C(*)=O)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(C)CC/C=C(\C)CC=CC(C)C=O)CO,1
PeruNPD_All_frag_221,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_222,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(C)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_223,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(C)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)CO,1
PeruNPD_All_frag_224,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)C*,CC/C(C)=C/CCC(CCCCC(C)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O,1
PeruNPD_All_frag_225,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(\C*)CC=CC(C)C(*)=O)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(C)CC/C=C(\C)CC=CC(C)C=O)COC(C)=O,1
PeruNPD_All_frag_226,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(/CC=CC(C)C(=O)O)CO*)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(C)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O,1
PeruNPD_All_frag_227,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(\C*)CC=CC(C)C(*)=O)COC(C)=O)C*,CC/C(C)=C/CCC(CCCCC(C)CC/C=C(\C)CC=CC(C)C=O)COC(C)=O,1
PeruNPD_All_frag_228,*CCCCCCCCCCCCCCC(=O)OC,CCCCCCCCCCCCCCC(=O)OC,1
PeruNPD_All_frag_229,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)CO*)COC(C)=O)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CC/C=C(/CC)CO)COC(C)=O)CO,1
PeruNPD_All_frag_230,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)COC(C)=O)COC(C)=O)C*,CC/C(C)=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_231,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(CO)CC/C=C(/CC=CC(C)C=O)COC(C)=O,1
PeruNPD_All_frag_232,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(C)CC/C=C(/CC=CC(C)C=O)COC(C)=O)CO,1
PeruNPD_All_frag_233,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(/CC=CC(C)C=O)COC(C)=O)CO,1
PeruNPD_All_frag_234,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_235,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*)COC(C)=O)C*,CC/C(C)=C/CCC(CCCCC(CO)CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_236,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CO)CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_237,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(CO)CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_238,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)COC(C)=O)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_239,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)COC(C)=O)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_240,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)COC(C)=O)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_241,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)COC(C)=O)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_242,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)CO*)COC(C)=O)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CC/C=C(/CC)CO)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_243,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)COC(C)=O)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_244,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CO*)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(CO)CC/C=C(\CO)CC=CC(C)C(=O)O,1
PeruNPD_All_frag_245,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CO*)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(\CO)CC=CC(C)C(=O)O)CO,1
PeruNPD_All_frag_246,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CO*)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O,1
PeruNPD_All_frag_247,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)COC(C)=O)C*,CC/C(C)=C/CCC(CCCCC(CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_248,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CO*)COC(C)=O)C*,CC/C(C)=C/CCC(CCCCC(CO)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O,1
PeruNPD_All_frag_249,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CO*)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CO)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)CO,1
PeruNPD_All_frag_250,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_251,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CO*)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(CO)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_252,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O,1
PeruNPD_All_frag_253,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)COC(C)=O)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O)COC(C)=O)COC(C)=O,1
